Airline,Aircraft Type,Time
SFZ,B462,1712584912
QFA,B738,1712587523
VOZ,B738,1712587526
JST,A321,1712578190
JST,A320,1712587526
FJI,B38M,1712575485
UAE,A388,1712587520
JST,A21N,1712587520
SFZ,B463,1712587520
ANZ,A20N,1712587523
RXA,B738,1712574693
EFA,A321,1712575326
EAQ,DH8C,1712574559
TMN,B763,1712573683
AWK,B734,1712574253
AWK,B733,1712574396
THA,A359,1712587525
SSQ,DH8D,1712571696
CPA,A35K,1712587523
TGW,B789,1712568677
UAE,B77L,1712563566
RXA,SF34,1712587526
VOZ,B737,1712587525
CSN,B789,1712566827
MAS,A333,1712587525
QFA,A333,1712587525
SIA,B77W,1712566966
AJX,B789,1712587525
EFA,A332,1712572635
QFA,A332,1712587525
QFA,B789,1712587520
UTY,E190,1712563409
TNZ,B738,1712587520
ETD,B77W,1712561945
QTR,A388,1712556761
ANZ,A21N,1712587523
SIA,A359,1712558453
ACA,B77W,1712587520
QJE,B712,1712563156
UPS,B744,1712559691
FRE,JS32,1712550198
MAS,A332,1712553504
CSC,A332,1712550546
GTI,B744,1712546605
TAX,A333,1712545443
FDX,B77L,1712587520
CES,A359,1712587525
HVN,B789,1712541577
CES,A332,1712587523
FJI,A359,1712587526
CPA,B77W,1712587525
CAL,A359,1712587525
ANG,B738,1712535541
ANZ,B77W,1712587525
SIA,A388,1712587525
JST,B788,1712587525
CPA,B748,1712538051
LAN,B789,1712587525
CXA,B789,1712587525
PAL,A333,1712587523
CPA,A359,1712587520
EFA,B763,1712528293
CBJ,A333,1712527483
CSN,A359,1712587523
HVN,A359,1712587520
QFA,A388,1712587520
XAX,A333,1712527811
AAR,A359,1712587520
ACA,B77L,1712523098
AIC,B788,1712587520
AAL,B77W,1712587520
UAL,B77W,1712587520
FIN,A333,1712587520
UAL,B789,1712587520
DAL,A359,1712587520
CSN,A333,1712527279
KAL,B77W,1712587520
JAL,B789,1712587520
MXD,B38M,1712587520
BAW,B789,1712587520
HAL,A332,1712482139
VOZ,B38M,1712587520
SIA,B77L,1712481417
EAQ,DH8B,1712475905
UPS,B748,1712469129
CCA,B789,1712467318
CSC,A333,1712462460
JTE,B463,1712587520
TWB,A333,1712587525
CEB,A339,1712587525
GCR,A332,1712587525
